actor_id,has_target,country_id
CA-YT,True,CA
CD,True,CD
CD-BC,False,CD
CD-BU,False,CD
CD-EQ,False,CD
CD-HK,False,CD
CD-HL,False,CD
CD-HU,False,CD
CD-IT,False,CD
CD-KC,False,CD
CD-KE,False,CD
CD-KG,False,CD
CD-KL,False,CD
CD-KN,False,CD
CD-KS,False,CD
CD-LO,False,CD
CD-LU,False,CD
CD-MA,False,CD
CD-MN,False,CD
CD-MO,False,CD
CD-NK,False,CD
CD-NU,False,CD
CD-SA,False,CD
CD-SK,False,CD
CD-SU,False,CD
CD-TA,False,CD
CD-TO,False,CD
CD-TU,False,CD
CF,False,CF
CF-AC,False,CF
CF-BB,False,CF
CF-BGF,False,CF
CF-BK,False,CF
CF-HK,False,CF
CF-HM,False,CF
CF-HS,False,CF
CF-KB,False,CF
CF-KG,False,CF
CF-LB,False,CF
CF-MB,False,CF
CF-MP,False,CF
CF-NM,False,CF
CF-OP,False,CF
CF-SE,False,CF
CF-UK,False,CF
CF-VK,False,CF
CG,True,CG
CG-11,False,CG
CG-12,False,CG
CG-13,False,CG
CG-14,False,CG
CG-15,False,CG
CG-16,False,CG
CG-2,False,CG
CG-5,False,CG
CG-7,False,CG
CG-8,False,CG
CG-9,False,CG
CG-BZV,False,CG
CH-AG,False,CH
CH-AI,False,CH
CH-AR,False,CH
CH-BE,False,CH
CH-BL,False,CH
CH-BS,False,CH
CH-FR,False,CH
CH-GE,False,CH
CH-GL,False,CH
CH-GR,False,CH
CH-JU,False,CH
CH-LU,False,CH
CH-NE,False,CH
CH-NW,False,CH
CH-OW,False,CH
CH-SG,False,CH
CH-SH,False,CH
CH-SO,False,CH
CH-SZ,False,CH
CH-TG,False,CH
CH-TI,False,CH
CH-UR,False,CH
CH-VD,False,CH
CH-VS,False,CH
CH-ZG,False,CH
CH-ZH,False,CH
CI-AB,False,CI
CI-BS,False,CI
CI-CM,False,CI
CI-DN,False,CI
CI-GD,False,CI
CI-LC,False,CI
CI-LG,False,CI
CI-MG,False,CI
CI-SM,False,CI
CI-SV,False,CI
CI-VB,False,CI
CI-WR,False,CI
CI-YM,False,CI
CI-ZZ,False,CI
CL-AI,False,CL
CL-AN,False,CL
CL-AP,False,CL
CL-AR,False,CL
